"GEO.id2","mris_est","ris_moe","med_hh_income_est","med_hh_income_moe","med_rent_est","med_rent_moe","Geography","total_workers_2010","total_workers_moe_2010","mean_travel_time_2010","commute_under10_2010","commute_10to14_2010","commute_15to19_2010","commute_20to24_2010","commute_25to29_2010","commute_30to34_2010","commute_35to44_2010","commute_45to59_2010","commute_60plus_2010","commute_10to14_moe_2010","commute_15to19_moe_2010","commute_20to24_moe_2010","commute_25to29_moe_2010","commute_30to34_moe_2010","commute_35to44_moe_2010","commute_45to59_moe_2010","commute_60plus_moe_2010","commute_30plus_2010","total_workers_2011","total_workers_moe_2011","mean_travel_time_2011","commute_under10_2011","commute_10to14_2011","commute_15to19_2011","commute_20to24_2011","commute_25to29_2011","commute_30to34_2011","commute_35to44_2011","commute_45to59_2011","commute_60plus_2011","commute_10to14_moe_2011","commute_15to19_moe_2011","commute_20to24_moe_2011","commute_25to29_moe_2011","commute_30to34_moe_2011","commute_35to44_moe_2011","commute_45to59_moe_2011","commute_60plus_moe_2011","commute_30plus_2011","total_workers_2012","total_workers_moe_2012","mean_travel_time_2012","commute_under10_2012","commute_10to14_2012","commute_15to19_2012","commute_20to24_2012","commute_25to29_2012","commute_30to34_2012","commute_35to44_2012","commute_45to59_2012","commute_60plus_2012","commute_10to14_moe_2012","commute_15to19_moe_2012","commute_20to24_moe_2012","commute_25to29_moe_2012","commute_30to34_moe_2012","commute_35to44_moe_2012","commute_45to59_moe_2012","commute_60plus_moe_2012","commute_30plus_2012","total_workers_2013","total_workers_moe_2013","mean_travel_time_2013","commute_under10_2013","commute_10to14_2013","commute_15to19_2013","commute_20to24_2013","commute_25to29_2013","commute_30to34_2013","commute_35to44_2013","commute_45to59_2013","commute_60plus_2013","commute_10to14_moe_2013","commute_15to19_moe_2013","commute_20to24_moe_2013","commute_25to29_moe_2013","commute_30to34_moe_2013","commute_35to44_moe_2013","commute_45to59_moe_2013","commute_60plus_moe_2013","commute_30plus_2013","total_workers_2014","total_workers_moe_2014","mean_travel_time_2014","commute_under10_2014","commute_10to14_2014","commute_15to19_2014","commute_20to24_2014","commute_25to29_2014","commute_30to34_2014","commute_35to44_2014","commute_45to59_2014","commute_60plus_2014","commute_10to14_moe_2014","commute_15to19_moe_2014","commute_20to24_moe_2014","commute_25to29_moe_2014","commute_30to34_moe_2014","commute_35to44_moe_2014","commute_45to59_moe_2014","commute_60plus_moe_2014","commute_30plus_2014","housing_units_est_2010","housing_units_moe_2010","housing_units_est_2011","housing_units_moe_2011","housing_units_est_2012","housing_units_moe_2012","housing_units_est_2013","housing_units_moe_2013","housing_units_est_2014","housing_units_moe_2014","GEO.display.label","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_change_p","pop_change_n","zillow_2010_11","zillow_2010_12","zillow_2011_01","zillow_2011_02","zillow_2011_03","zillow_2011_04","zillow_2011_05","zillow_2011_06","zillow_2011_07","zillow_2011_08","zillow_2011_09","zillow_2011_10","zillow_2011_11","zillow_2011_12","zillow_2012_01","zillow_2012_02","zillow_2012_03","zillow_2012_04","zillow_2012_05","zillow_2012_06","zillow_2012_07","zillow_2012_08","zillow_2012_09","zillow_2012_10","zillow_2012_11","zillow_2012_12","zillow_2013_01","zillow_2013_02","zillow_2013_03","zillow_2013_04","zillow_2013_05","zillow_2013_06","zillow_2013_07","zillow_2013_08","zillow_2013_09","zillow_2013_10","zillow_2013_11","zillow_2013_12","zillow_2014_01","zillow_2014_02","zillow_2014_03","zillow_2014_04","zillow_2014_05","zillow_2014_06","zillow_2014_07","zillow_2014_08","zillow_2014_09","zillow_2014_10","zillow_2014_11","zillow_2014_12","zillow_2015_01","clean_name","workers_housing_ratio_2014","workers_housing_ratio_2013","workers_housing_ratio_2012","workers_housing_ratio_2011","workers_housing_ratio_2010"
605108,31.1,4.6,106287,4356,1588,65,"Belmont city, California",7298,651,NA,3.5,20.8,12,15.4,8.1,9.4,8.6,4.5,7.1,3.3,3,3.8,2.6,2.5,2.7,1.5,2.5,29.6,6999,610,NA,3.3,19.4,12.7,15.5,7.2,9.4,6.1,5.5,9.7,4.2,3.1,3.7,2.8,2.7,2,2,2.9,30.7,7387,609,26.1,3.1,16.6,14.1,17.9,6.4,9,5.3,7.5,10.1,3.5,3.3,3.7,2.3,2.5,1.9,2.4,2.9,31.9,7298,593,NA,2.7,14.4,15.1,14.7,5.4,12.1,4.8,8.6,11.6,3.4,2.8,3.4,1.8,2.5,1.6,2.6,3,37.1,7793,707,NA,3.3,13.3,13.5,14.1,4.6,13.2,6.7,9.7,11.1,2.5,2.8,2.9,1.5,3,2.6,2.7,3.2,40.7,10859,397,10848,374,10842,321,10854,336,10812,369,"Belmont city, California",12236,12300,12143,12315,12421,0.0151193200392285,185,2189,2225,2249,2254,2210,2135,2050,1996,1969,1972,1996,2020,2053,2052,2051,2046,2046,2039,2032,2035,2051,2047,2044,2031,2074,2083,2126,2150,2190,2223,2282,2324,2353,2369,2384,2391,2360,2322,2288,2315,2347,2402,2455,2516,2575,2624,2655,2682,2717,2772,2813,"Belmont",0.720773214946356,0.6723788465082,0.68133185759085,0.645188053097345,0.672069251312276
608310,35,4.8,80233,13725,1482,188,"Brisbane city, California",6658,573,33.7,1.7,8.2,15,14.9,5.5,14.5,8.9,9.5,18,2.1,3.3,3.5,1.6,3.2,2.4,2.5,4.1,50.9,6659,574,NA,2.1,7.5,16.1,13.7,6.1,15.2,7.7,8.6,18.1,2.1,3.1,3.5,1.9,3.6,2.3,2.4,3.4,49.6,6472,550,NA,1.8,8.2,17.1,12.8,6.3,17,7.7,9.7,15,2.3,3.5,3.4,1.8,4,2.3,2.3,3.3,49.4,6208,630,NA,1.9,9,19.4,13.7,7.3,14.7,6.9,8.5,14.5,2.7,4.9,3.2,2.5,3.5,2.1,2.3,3.5,44.6,5966,581,NA,1.5,7.1,20.3,13.3,7.6,15.1,6.6,9.3,15.3,2.2,4,2.7,2.9,3.2,1.9,2.2,3.2,46.3,1788,162,1895,124,1951,113,1981,151,1806,148,"Brisbane city, California",2257,2311,2278,2341,2096,-0.0713336287106779,-161,2220,2243,2277,2287,2291,2277,2273,2295,2330,2383,2431,2465,2480,2478,2481,2476,2462,2448,2439,2424,2435,2464,2505,2515,2526,2545,2576,2630,2683,2725,2732,2725,2700,2674,2658,2678,2713,2743,2784,2810,2843,2880,2929,2964,2982,2986,3003,3034,3072,3106,3110,"Brisbane",3.30343300110742,3.13377082281676,3.31727319323424,3.51398416886544,3.72371364653244
609066,27.8,1.8,90890,5763,1588,64,"Burlingame city, California",22418,1069,26.6,1.8,14,16.8,15.7,6.5,13.4,6.8,8,8.3,1.6,1.9,2.2,1.2,2.1,1.1,1.7,1.3,36.5,22383,1118,26.7,1.8,13.4,17,16.5,6.3,13.9,6.9,6.7,8.4,1.9,2.3,2.3,1.4,1.8,1.1,1.1,1.2,35.9,23380,1034,27.1,1.9,13.4,15.8,17.4,5.7,14.5,7.6,6.2,8.7,1.8,1.8,2.2,1.1,1.8,1.4,1,1.4,37,23339,1016,28.1,1.7,12.6,15.4,17.9,6.1,15.2,7.7,6.5,9.4,1.6,1.6,1.7,1.1,1.7,1.3,1.1,1.4,38.8,23288,1167,28.8,1.5,12.5,14.8,18.2,5.6,15.2,8.2,7.2,9.6,1.5,1.8,1.9,1,1.8,1.4,1.2,1.3,40.2,12347,629,12914,435,13128,460,12837,362,12884,438,"Burlingame city, California",12999,13648,13640,13877,14066,0.0820832371720902,1067,2307,2392,2465,2533,2487,2402,2298,2261,2259,2285,2296,2317,2369,2382,2389,2392,2404,2424,2444,2449,2441,2412,2384,2344,2362,2338,2375,2391,2431,2447,2486,2530,2565,2605,2638,2654,2666,2638,2616,2622,2667,2742,2821,2868,2893,2905,2927,2973,3029,3070,3073,"Burlingame",1.80751319466004,1.81810391836099,1.78092626447288,1.73323524856745,1.81566372398153
610345,28.6,1.3,91269,4759,1573,53,"Campbell city, California",21517,1102,NA,1.8,15.6,18.9,17.2,5.8,12.7,5.6,4.4,7.1,1.8,2,2.1,1.3,2,1.2,1.1,1.3,29.8,22003,1086,NA,1.5,15.2,19.4,15.9,6.6,13.4,5.5,5.3,6.6,1.8,2.3,1.8,1.3,2.2,1,1,1.3,30.8,21609,1105,NA,1.8,15.3,18.7,16.7,7,12.4,4.7,6.3,6.3,2,1.7,1.9,1.6,1.6,1.2,1.3,1.2,29.7,22336,1395,NA,1.6,15.6,18.2,16.5,7,12.3,5.2,6.2,6.6,1.5,1.8,2.1,1.5,1.4,1.2,1.1,1.4,30.3,23434,1185,NA,2,14.3,17.7,16.4,7,13.3,5.1,6.5,7.4,1.5,2.1,1.8,1.1,1.7,1,1.1,1.6,32.3,17058,475,16818,480,16655,477,16616,406,16285,408,"Campbell city, California",20014,19876,20381,20633,20715,0.0350254821624863,701,2041,2067,2069,2061,2056,2052,2044,2057,2083,2122,2150,2173,2186,2183,2181,2189,2200,2211,2228,2240,2251,2255,2265,2293,2326,2345,2353,2358,2356,2352,2358,2359,2357,2357,2374,2392,2413,2428,2460,2501,2548,2604,2654,2679,2697,2714,2736,2744,2755,2782,2820,"Campbell",1.43899293828677,1.34424650938854,1.29744821374962,1.30830063027708,1.26140227459257
617610,23.2,0.9,134872,4809,NA,NA,"Cupertino city, California",32512,1288,27.4,1.3,15.7,14,16.1,6.7,12.9,6.9,9.7,9.1,1.6,1.4,1.7,0.8,1.3,1.1,1.3,1.3,38.6,33718,1349,27.5,1.1,16.1,15.2,15,6.8,13.4,6.6,9,9.5,1.5,1.4,1.4,1.1,1.3,1.1,1,1.1,38.5,35897,1330,27.8,1.2,14.7,15.8,15.6,6.2,13.7,7,9,9.7,1.6,1.4,1.4,1,1.1,1.1,1.2,1.1,39.4,36953,1358,NA,1.1,13.6,17.4,15,6.4,13.5,6.4,9,11.5,1.2,1.4,1.5,0.9,1.2,0.8,1,1.3,40.4,38695,1518,29.8,1,12.5,17,15.5,6.4,13.8,6.5,9.1,12.3,1.4,1.3,1.4,0.7,1.2,0.9,0.8,1.2,41.7,20670,414,21058,432,21246,387,21473,473,21656,359,"Cupertino city, California",22865,23372,23380,23782,23928,0.0464902689700415,1063,2271,2309,2349,2379,2383,2385,2390,2400,2406,2421,2428,2437,2466,2479,2483,2495,2513,2536,2546,2539,2525,2509,2525,2549,2582,2576,2575,2590,2601,2611,2619,2641,2670,2704,2718,2732,2746,2758,2786,2840,2890,2921,2951,2973,3013,3058,3111,3154,3205,3240,3257,"Cupertino",1.78680273365349,1.72090532296372,1.68958862844771,1.60119669484282,1.5729075955491
617918,33.9,1.5,74489,3209,1599,43,"Daly City city, California",18149,1200,NA,2,20.7,16.6,11.9,4.4,10.8,3.1,7.5,10.6,2.5,2.2,2,1.2,1.7,1,1.5,1.9,32,17850,1067,NA,2.8,20.1,16.9,12.4,3.5,12.7,2.6,6.5,9.7,2.5,2.4,2.2,1,2.1,0.8,1.2,1.8,31.5,18442,1020,NA,2.3,19.9,18.2,13,3.3,14,2.8,5.7,10.6,2.1,2.5,2.1,1,2,0.8,1.1,1.8,33.1,18853,1055,NA,2.1,20.9,18.9,11.6,3.4,11.4,4,6.1,12.1,2.4,2.5,2,1.1,2,1,1.3,2.1,33.6,20209,1259,27.2,1.9,19.2,18.2,12.8,3.2,12.4,4.6,5.6,12.3,2.2,2,1.9,1,2.3,1.2,1.2,1.7,34.9,32569,755,32974,595,32583,645,32921,605,32549,594,"Daly City city, California",48853,49972,50343,51229,52660,0.0779276605326183,3807,1847,1892,1918,1965,1986,1967,1918,1877,1869,1872,1894,1923,1983,2001,2011,2026,2026,2027,2032,2043,2046,2057,2073,2104,2148,2174,2204,2228,2230,2234,2252,2284,2300,2297,2277,2224,2175,2120,2109,2141,2172,2226,2290,2346,2413,2483,2560,2632,2693,2725,2743,"Daly City",0.620879289686319,0.572673977096686,0.566000675198723,0.541335597743677,0.55724768952071
620956,37.9,3.1,52716,3651,1393,83,"East Palo Alto city, California",4690,478,NA,5.7,11.1,11,15.9,4.9,12.7,9.7,10.6,8.3,3.2,4,4.3,2.1,3.5,3.8,3.6,3.9,41.3,4322,504,NA,5.2,12.4,10.8,18.2,5,13.7,9.3,8.9,8.7,4,3.8,5.2,2.1,4.2,3.4,3.2,4,40.6,4631,564,NA,4.5,12.7,12.9,15.7,5,17.3,6.4,8.9,9.1,4.3,4.8,3.9,2.1,6.3,2.5,3,2.9,41.7,4313,636,NA,4.9,11.9,10.7,15.8,5.5,18.8,6.3,7.8,9.6,3.8,4.5,5.5,2.3,7,2.8,3,3.1,42.5,4383,517,27.7,4.5,13.5,9,13.7,7.1,17.3,5.5,7.4,12.1,4.1,3.7,3.4,2.7,7.3,1.9,3,3.8,42.3,8413,377,7813,324,7751,407,7754,426,7438,367,"East Palo Alto city, California",11910,12093,11982,11762,12695,0.0659109991603694,785,2147,2151,2141,2116,2064,2004,1942,1888,1876,1889,1925,1966,2004,2044,2074,2121,2146,2172,2159,2155,2111,2056,1992,1976,1986,1998,2009,2027,2052,2069,2118,2189,2274,2340,2374,2349,2293,2254,2276,2357,2452,2525,2578,2594,2611,2633,2668,2714,2749,2792,2793,"East Palo Alto",0.589271309491799,0.556229043074542,0.597471294026577,0.553180596441828,0.557470581243314
625338,25.9,1.3,114651,6497,NA,NA,"Foster City city, California",17523,969,30.3,1.5,12.7,11.2,11.9,4.6,13.8,10,15.2,10.3,2.2,1.7,2.1,1.1,1.9,1.6,2.4,1.7,49.3,18209,1009,30.8,1.4,12.7,11.4,12.3,5.1,14.3,10.2,14.1,11.1,1.9,1.7,2.2,1.4,2,1.8,1.9,1.8,49.7,19382,1130,32,1.3,12.5,11.2,11.3,5.5,13.3,10.1,14.3,13.6,1.9,1.6,1.6,1.3,1.8,1.6,2,1.6,51.3,19541,1017,32.3,1.2,12.1,11.5,11.6,5.1,13.4,9.9,14.9,14,1.7,1.4,1.6,1.1,1.9,1.8,2.3,1.7,52.2,19405,1029,33.1,1.3,12.4,11.6,10.6,5.2,15,10.5,13,15.4,1.3,1.5,1.5,1.2,1.9,2,1.8,1.4,53.9,12268,322,12092,350,12375,300,12606,282,12647,303,"Foster City city, California",13888,13561,13961,14342,14592,0.0506912442396313,704,1996,2018,2064,2128,2197,2238,2274,2312,2349,2355,2334,2311,2356,2413,2482,2531,2567,2604,2638,2644,2625,2592,2576,2569,2583,2575,2560,2543,2534,2562,2590,2642,2691,2756,2789,2807,2831,2856,2879,2895,2905,2918,2938,2956,2983,3006,3051,3106,3177,3220,3256,"Foster City",1.53435597374872,1.55013485641758,1.56622222222222,1.50587165067813,1.42835017932833
629504,34.9,3.2,81056,5281,1367,64,"Gilroy city, California",18516,1081,NA,2.7,16.7,14.9,9.6,6,15.1,6.6,6,7.9,2.3,2.5,1.7,1.5,2.4,1.2,1.6,1.6,35.6,18529,949,NA,2.2,17.4,14.9,11.2,5.4,13.8,5.7,5,7,2.3,2.4,1.9,1.2,1.7,1.3,1.3,1.6,31.5,18008,1089,NA,2.3,19,14.8,10.4,6.5,12.5,6,5.5,6.9,2.8,2.6,1.9,1.4,1.8,1.5,1.4,1.5,30.9,18098,1149,NA,2.3,17.5,15.6,12.5,6.8,11.5,5.9,5.4,5.6,2.2,2.6,2.7,1.2,1.6,1,1.4,1.2,28.4,18434,1032,22.9,2.5,18.3,13.6,12.7,6.2,11.7,6.5,5.7,6.7,2.2,2.2,2.6,1.3,1.8,1.7,1.2,1.5,30.6,14772,477,15041,482,15043,501,15024,431,15376,390,"Gilroy city, California",20093,20954,20990,21417,22124,0.101079978101827,2031,1764,1774,1785,1798,1812,1820,1810,1795,1775,1756,1750,1758,1789,1800,1811,1831,1853,1891,1937,1981,2000,2010,2014,2024,2049,2069,2069,2059,2038,2022,2020,2030,2041,2044,2030,2005,1978,1964,1979,2015,2043,2065,2084,2102,2132,2176,2233,2292,2345,2380,2406,"Gilroy",1.1988813735692,1.20460596379127,1.19710164195972,1.23189947476896,1.25345247766044
631708,28.2,4.4,103239,5268,1852,164,"Half Moon Bay city, California",5543,535,NA,5.3,18.8,7.2,8.3,7.3,14.9,4.6,5.2,9.7,5.3,3,2.7,2.7,4.4,2,2.3,3.4,34.4,5642,619,NA,5.5,20.9,9.5,5.6,6.4,16,4.1,4.7,9.4,4.9,3.9,2.1,2.5,4.2,2.2,2.1,3.2,34.2,5389,555,NA,4.1,22.4,10.5,7.2,6.5,15.9,4.7,5,8.2,5.5,3.7,1.9,2.7,3.9,2.3,2,2.5,33.8,5134,577,NA,4.2,23.3,11.6,8.2,7.2,14.6,4.8,5.3,6.5,6.7,4,2.7,2.8,3.6,2.6,2.4,2.4,31.2,5330,690,NA,4.2,22.4,13.7,9.6,4.6,14.3,5,4.5,7.5,7.5,3.7,3.1,1.8,3.9,2.4,1.9,2.7,31.3,4245,313,4491,279,4540,285,4779,333,4906,268,"Half Moon Bay city, California",5180,5194,5365,5481,5716,0.103474903474903,536,2202,2238,2269,2273,2225,2155,2089,2055,2063,2085,2130,2158,2196,2199,2191,2199,2226,2270,2283,2294,2272,2263,2246,2248,2268,2277,2307,2314,2332,2329,2349,2377,2412,2442,2444,2433,2393,2382,2403,2456,2493,2534,2575,2608,2648,2690,2745,2800,2862,2905,2926,"Half Moon Bay",1.08642478597636,1.07428332287089,1.18700440528634,1.25629035849477,1.3057714958775
